symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
DYNAMATECH,Dynamatic Technologies Limited,Auto,88.2,12097.0,12300.0,12361.5,11791.66,13273.24,4.61,7.38,1.6,11679.460299656845,64.64152575055502,4.060962109312495,,proxy 4.1x,3.7684390102374286,5.975747330004351,False,8235.0,20.112921849482422,True,True
GRANULES,Granules India Limited,Pharma,82.1,909.2999877929688,914.8499755859375,919.42,886.11,972.71,3.62,5.8,1.6,877.7550194455691,66.88884078284804,9.081413325225732,,proxy 9.1x,2.930503214816992,0.6066555108572996,False,22644.0,108.71574819384766,True,True
KROSS,Kross Limited,Auto,81.0,239.07000732421875,239.8000030517578,241.0,229.33,259.67,4.84,7.75,1.6,220.75343532115906,73.400451366814,2.6104777105955193,,proxy 2.6x,3.9054840439326473,0.7184367548231365,False,1542.0,19.89375519335228,False,True
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Auto,79.3,890.3499755859375,899.0,903.49,852.96,984.33,5.59,8.95,1.6,855.057715765249,65.30083539514277,1.571974194028923,,—,4.540066835190251,3.849894645147138,False,13628.0,65.2996163749466,False,True
TDPOWERSYS,TD Power Systems Limited,Infrastructure,77.8,804.9000244140625,812.7999877929688,816.86,771.25,889.84,5.58,8.93,1.6,761.7548881802095,65.29463250961123,2.1632228201198145,,—,4.533672106610574,0.9719443279468255,False,25082.0,162.21074724788423,True,True
AETHER,Aether Industries Limited,Metal,75.4,1674.699951171875,1691.5,1699.96,1626.47,1817.55,4.32,6.92,1.6,1648.9963037631244,59.51307661506115,1.5584424777195036,,—,3.5107653601604407,2.463602144911182,False,22232.0,38.459869450864254,False,True
RAYMOND,Raymond Limited,Infrastructure,74.9,1002.7999877929688,1024.5,1029.62,967.05,1129.73,6.08,9.72,1.6,805.9068546404013,81.71637658445371,6.515320837436227,,proxy 6.5x,4.9913143237198305,2.118107584873719,False,6675.0,271.6613999187454,False,True
BHAGYANGR,Bhagyanagar India Limited,Metal,74.8,422.54998779296875,431.75,433.91,411.27,470.14,5.22,8.35,1.6,401.94667306136887,62.123288478230215,3.05216551489012,,proxy 3.1x,4.286669772219243,2.255378273262718,False,1414.0,7.879870558584289,False,True
ABSLAMC,Aditya Birla Sun Life AMC Limited,Bank,73.6,1109.9000244140625,1116.9000244140625,1122.48,1079.26,1191.63,3.85,6.16,1.6,1064.057887131049,65.31336658613942,2.9230223179033974,,proxy 2.9x,3.1153037318136803,7.117894987691127,False,31410.0,22.715888735481567,True,True
EMMVEE,Emmvee Photovoltaic Power Limited,IT,73.5,346.0,348.20001220703125,349.94,336.34,371.69,3.89,6.22,1.6,333.0836685431187,65.40658813954757,2.0699053424365026,,—,3.1435781556483717,6.876594975749387,False,23872.0,64.00027306755264,True,True
NRBBEARING,NRB Bearing Limited,Auto,72.5,514.6500244140625,519.0,521.59,497.02,560.9,4.71,7.54,1.6,487.98361926097465,67.42767715396131,1.6660484237661297,,—,3.8186399470508197,0.8381455849590559,False,5009.0,21.4750542913324,False,True
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,71.9,295.1000061035156,298.3999938964844,299.89,284.86,323.93,5.01,8.02,1.6,287.8395379811929,61.607890457267374,2.04226613473779,,—,4.0739854114935055,5.26180122787478,False,32691.0,26.481453438386996,False,True
NEPHROPLUS,Nephrocare Health Services Limited,Pharma,70.6,765.3499755859375,781.5,785.41,750.99,840.49,4.38,7.01,1.6,728.3735000237459,68.70717064186226,1.5743296656514667,,—,3.5980965701816947,2.0665418316138835,False,7705.0,15.489601909292602,False,True
JSWINFRA,JSW Infrastructure Limited,Infrastructure,70.2,343.1499938964844,344.1000061035156,345.82,334.88,363.33,3.16,5.06,1.6,338.28386881467077,57.94997945603732,1.378942961780589,,—,2.5509393432805316,3.5553665909187986,False,79618.0,73.82615530648957,False,True
