symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
LTF,L&T Finance Limited,Unmapped,77.9,325.1000061035156,325.79998779296875,327.43,315.63,346.31,3.6,5.77,1.6,315.5678273688218,60.410958381082025,2.1424712341584224,,—,2.903047892210236,3.9870052441383677,False,,153.7504276858824,False,True
MSTCLTD,Mstc Limited,Unmapped,76.9,701.5499877929688,709.0,712.54,677.04,769.34,4.98,7.97,1.6,626.8897586132261,68.24061664715653,4.929872283980258,,proxy 4.9x,4.0479402784038445,5.692974221159761,False,,19.13736281164276,False,True
ASAHIINDIA,Asahi India Glass Limited,Auto,76.1,962.7999877929688,970.8499755859375,975.7,941.47,1030.47,3.51,5.61,1.6,921.8978924673337,66.10234412826563,3.856479160312239,,proxy 3.9x,2.8443951337609668,10.353818641250582,False,24544.0,20.802093962947083,True,True
HNDFDS,Hindustan Foods Limited,Unmapped,75.6,635.5999755859375,640.9000244140625,644.1,620.52,681.84,3.66,5.86,1.6,599.5043431327073,73.63438573852447,2.9095284622664654,,proxy 2.9x,2.968521854013118,0.8269696717472472,False,,5.660671834370117,True,True
GHCLTEXTIL,GHCL Textiles Limited,Auto,75.4,127.94000244140625,128.5500030517578,129.19,122.22,140.34,5.4,8.63,1.6,120.52404597441692,67.19317712956817,1.5952112841940633,,—,4.357685315675584,0.47452399523161365,False,1223.0,16.645722314989282,False,True
BHAGYANGR,Bhagyanagar India Limited,Unmapped,75.3,401.04998779296875,401.6000061035156,403.61,377.16,445.93,6.55,10.49,1.6,383.6675855723556,56.121139508254295,5.124077843612649,,proxy 5.1x,5.27620730046461,7.228776516867687,False,,5.18527466690506,False,True
INDSWFTLAB,Ind-Swift Laboratories Limited,Pharma,75.0,346.8699951171875,351.29998779296875,353.06,331.38,387.75,6.14,9.83,1.6,292.390207596682,85.0970479035006,3.483310635349025,,proxy 3.5x,5.000218347904024,1.2610284172261268,False,3012.0,49.1957484758345,False,True
ZENTEC,Zen Technologies Limited,Unmapped,74.0,1982.4000244140625,2012.4000244140625,2022.46,1939.28,2155.54,4.11,6.58,1.6,1836.126092124644,71.22013366399526,6.239657763082571,,proxy 6.2x,3.3566368085968974,2.0553347621510625,False,,101.71032016142028,False,True
AEGISLOG,Aegis Logistics Limited,Unmapped,73.6,1367.699951171875,1378.0,1384.89,1294.28,1529.86,6.54,10.47,1.6,1311.4954250848307,58.24564204709642,2.665147906943119,,proxy 2.7x,5.299850207070287,8.686079143744186,False,,166.57277405491334,False,True
MANALIPETC,Manali Petrochemicals Limited,Metal,73.5,71.05999755859375,71.44999694824219,71.81,68.24,77.51,4.97,7.94,1.6,67.85952184714333,65.52016344875801,2.652127970276152,,proxy 2.7x,4.0135335342590235,8.427836397069486,False,1222.0,5.553435902797432,False,False
PFOCUS,Prime Focus Limited,Media,72.9,286.25,289.0,290.44,272.7,318.83,6.11,9.77,1.6,279.1026470447512,54.881795939197126,3.984457643944077,,proxy 4.0x,4.958213164406431,22.002724795640326,False,22292.0,23.371451865971984,False,True
BOSCHLTD,Bosch Limited,Auto,72.5,48730.0,48940.0,49184.7,47761.95,51461.11,2.89,4.63,1.6,45905.51360078657,82.19276642629217,2.241625897459774,,—,2.3357327480609236,0.4290968532897425,False,143734.0,200.55105852416014,False,True
INDIAGLYCO,India Glycols Limited,Unmapped,71.4,1139.199951171875,1164.300048828125,1170.12,1115.77,1257.07,4.64,7.43,1.6,1097.2080676228861,57.44590963965646,14.592691079950994,,proxy 14.6x,3.8164253663346352,5.970970055268982,False,,26.21818976047119,False,True
MANINDS,Man Industries (India) Limited,Metal,70.3,645.1500244140625,649.9500122070312,653.2,620.38,705.71,5.02,8.04,1.6,593.8215276795189,71.44737191604779,0.8953418175813865,,—,4.069776923749502,0.7385164555454751,False,4839.0,52.448250636336674,False,True
AEQUS,Aequs Limited,Infrastructure,70.0,259.8500061035156,263.45001220703125,264.77,250.71,287.26,5.31,8.49,1.6,247.36301992547237,64.79004889873266,2.088294744261959,,—,4.328138671634821,5.299029763729295,False,17016.0,75.69325998200524,False,True
