symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
NOCIL,NOCIL Limited,Metal,82.4,188.27999877929688,189.5,190.45,182.8,202.7,4.02,6.43,1.6,175.89902897132407,75.54677049795745,3.7012042077315277,,proxy 3.7x,3.2518906187901173,7.071677600470181,False,3145.0,15.684585013514788,False,True
SANSERA,Sansera Engineering Limited,Auto,81.0,4135.89990234375,4170.0,4190.85,3996.22,4502.26,4.64,7.43,1.6,3930.0838067526693,67.0280061335898,1.975645476754648,,—,3.7646848050135713,0.8177481452338129,False,25809.0,95.75696113965333,True,True
SHAILY,Shaily Engineering Plastics Limited,Unmapped,80.6,3455.0,3487.699951171875,3505.14,3366.21,3727.42,3.96,6.34,1.6,3336.1762657854883,65.74144074793689,2.1573030321965088,,—,3.2168052326861063,4.43128881764744,False,,38.952939254217526,True,True
KROSS,Kross Limited,Auto,80.4,219.6699981689453,220.89999389648438,222.0,212.25,237.6,4.39,7.03,1.6,212.33286707895942,62.25631961858393,2.05642234923268,,—,3.5499475343468077,7.546299441911089,False,1417.0,7.987023457444764,False,True
GLAND,Gland Pharma Limited,Pharma,80.2,3026.199951171875,3033.89990234375,3049.07,2934.95,3231.66,3.74,5.99,1.6,2936.261249118263,72.20341559394974,2.680621630411362,,proxy 2.7x,3.016881801005981,0.5193967399120645,False,49922.0,182.510958339043,False,True
MEDANTA,Global Health Limited,Pharma,80.1,1480.4000244140625,1487.4000244140625,1494.84,1433.38,1593.17,4.11,6.58,1.6,1452.7628159710705,57.064031332730536,1.999548866013206,,—,3.3210378713379716,4.119169403234294,False,39781.0,43.71364587059266,False,True
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,77.3,297.6499938964844,299.3999938964844,300.9,286.34,324.19,4.84,7.74,1.6,284.5680246623864,65.12618544673711,2.445361134373728,,—,3.912555075944983,4.443159257694596,False,32979.0,23.93571179205246,False,True
JSWINFRA,JSW Infrastructure Limited,Infrastructure,76.8,341.3999938964844,343.45001220703125,345.17,333.89,363.21,3.27,5.23,1.6,335.7216688785138,56.515556988647326,2.3530435361444124,,—,2.642608456076576,4.047215961362927,False,79040.0,71.56595908680207,False,True
PCBL,PCBL Chemical Limited,Metal,76.6,334.95001220703125,341.5,343.21,330.21,364.01,3.79,6.06,1.6,323.11387209986174,61.29750548317135,5.010292207659248,,proxy 5.0x,3.105683437687613,18.94343292486507,False,13179.0,50.21721449436676,True,True
CORONA,CORONA Remedies Limited,Pharma,76.1,2197.199951171875,2246.89990234375,2258.13,2176.92,2388.07,3.6,5.75,1.6,2109.448582294743,62.52633314565413,14.714075384451748,,proxy 14.7x,2.9569546057210254,3.2113185916180647,False,,6.479588489951172,True,True
