symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
SHADOWFAX,Shadowfax Technologies Limited,Unmapped,82.7,272.75,274.79998779296875,276.17,262.05,298.76,5.11,8.18,1.6,254.7479217869453,64.91261932864218,4.860509524676615,,proxy 4.9x,4.140500878793848,0.7459926797788609,False,,81.60757278995376,True,True
SOMANYCERA,Somany Ceramics Limited,Unmapped,79.2,589.4500122070312,602.0,605.01,580.95,643.51,3.98,6.36,1.6,567.5418392977675,68.21948252336442,2.6996496406747865,,proxy 2.7x,3.265746061518905,2.084715580227367,False,,7.903841149081726,True,True
CONCORDBIO,Concord Biotech Limited,Unmapped,79.0,1579.4000244140625,1592.0,1599.96,1534.33,1704.97,4.1,6.56,1.6,1495.650315126081,65.28718787202342,4.542032510654687,,proxy 4.5x,3.3243308246646746,6.757230984697288,False,,21.625695490598755,True,True
UNIMECH,Unimech Aerospace and Manufacturing Limited,Unmapped,78.9,1698.4000244140625,1703.0,1711.51,1620.26,1857.5,5.33,8.53,1.6,1588.584785495411,68.66720794144622,2.522008427679342,,proxy 2.5x,4.2979367873902525,0.2701101342300352,False,,40.97509507378723,False,True
AKUMS,Akums Drugs and Pharmaceuticals Limited,Unmapped,78.5,821.4500122070312,830.0,834.15,800.09,888.65,4.08,6.53,1.6,779.4229178318706,69.00475935326241,2.491551073477812,,—,3.3171720022667923,1.030119011201054,False,,26.908855410514224,True,True
KROSS,Kross Limited,Unmapped,73.8,256.92999267578125,261.739990234375,263.05,249.18,285.24,5.27,8.44,1.6,236.0527739277362,72.39313737612028,5.0611240514253035,,proxy 5.1x,4.317994364503465,1.8377006716805633,False,,29.541979504032593,False,True
JYOTICNC,Jyoti CNC Automation Limited,Unmapped,73.1,1113.8499755859375,1134.5999755859375,1140.27,1084.68,1229.21,4.88,7.8,1.6,1021.2246714475501,70.83923149602654,5.327301146207082,,proxy 5.3x,3.9924834812121057,1.8288383964827915,False,,136.92337262085297,False,True
MARKSANS,Marksans Pharma Limited,Unmapped,73.0,338.1000061035156,339.0,340.69,324.16,367.14,4.85,7.76,1.6,325.81275478515454,62.85318540480476,1.5028646114978896,,—,3.9112094486008138,3.3861996542823762,False,,72.03296033233856,False,True
USHAMART,Usha Martin Limited,Unmapped,72.2,533.9000244140625,542.5999755859375,545.31,525.83,576.47,3.57,5.71,1.6,502.9829140041171,66.94587512542083,3.6011755078461904,,proxy 3.6x,2.9185820530243896,1.6033821532115224,False,,54.41384328587844,False,True
KDDL,KDDL Limited,Unmapped,71.3,4006.800048828125,4045.0,4065.22,3894.78,4337.92,4.19,6.71,1.6,3888.9763924893823,62.41993930349002,1.266802873628327,,—,3.4029612564996867,3.3847664865930187,False,,14.341154056693115,False,True
