symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
RBLBANK,RBL Bank Limited,Unmapped,86.7,408.1000061035156,410.70001220703125,412.75,401.53,430.7,2.72,4.35,1.6,389.2118835726934,70.41791542458856,10.103336740601833,,proxy 10.1x,2.1987973504395457,0.63306696523909,False,,110.87287582413865,True,True
IDFCFIRSTB,IDFC First Bank Limited,Unmapped,86.4,87.5,88.0999984741211,88.54,86.4,91.96,2.42,3.86,1.6,85.44880980838927,61.829724600182594,4.092349147466239,,proxy 4.1x,1.9537679880076806,1.1299639112013145,False,,116.84537045050595,True,True
SOUTHBANK,The South Indian Bank Limited,Unmapped,84.6,47.70000076293945,48.29999923706055,48.54,47.14,50.77,2.88,4.59,1.59,46.057720546496846,64.43569746789731,4.058916354284263,,proxy 4.1x,2.340080384559238,3.468985262892871,False,,37.371573056891634,True,True
KSL,Kalyani Steels Limited,Unmapped,79.7,950.2000122070312,953.0,957.76,910.03,1034.12,4.98,7.97,1.6,903.0655141837548,64.15199808369954,2.6642919024316547,,proxy 2.7x,4.018343275597983,2.1818237271427585,False,,8.433248395016173,False,True
SMLMAH,SML Mahindra Limited,Unmapped,78.8,5726.0,5790.0,5818.95,5489.63,6345.87,5.66,9.06,1.6,5346.029054398975,66.89381427243968,2.1520182726354715,,—,4.60107585998242,4.373818978524318,False,,62.5491529225,True,True
CAPLIPOINT,Caplin Point Laboratories Limited,Unmapped,77.5,2845.0,2877.300048828125,2891.69,2765.66,3093.34,4.36,6.97,1.6,2642.5047235589536,70.4880140040267,4.062076420557094,,proxy 4.1x,3.543989288770201,1.1225818746738023,False,,65.78516856532838,False,True
PAISALO,Paisalo Digital Limited,Unmapped,77.0,70.27999877929688,70.9000015258789,71.25,68.25,76.05,4.21,6.74,1.6,68.25941343806196,57.13242297043063,3.174143725415538,,proxy 3.2x,3.4118371277715367,9.187234353826064,False,,58.80663812087352,False,True
GRASIM,Grasim Industries Limited,Metal,75.5,3310.0,3325.199951171875,3341.83,3252.59,3484.62,2.67,4.27,1.6,3301.687210011569,55.67930092820178,1.937860166506779,,—,2.156904372082516,2.963856080497766,False,224502.0,426.12694738568723,False,True
DEEPINDS,Deep Industries Limited,Unmapped,75.1,744.8499755859375,749.0,752.74,707.66,824.87,5.99,9.58,1.6,689.2256225665271,68.2198844322007,3.7144200846533315,,proxy 3.7x,4.841902073046205,0.5540753556825767,False,,32.72861620010986,False,True
SHREEJISPG,Shreeji Shipping Global Limited,Unmapped,75.0,664.25,671.0,674.35,643.12,724.31,4.63,7.41,1.6,645.4796548452294,59.47640835940701,2.150739679302708,,—,3.7609419583148536,2.538329998213409,False,,77.4001487844394,False,True
KIRLOSENG,Kirloskar Oil Engines Limited,Unmapped,74.5,2267.60009765625,2289.0,2300.44,2189.83,2477.41,4.81,7.69,1.6,2145.025917115783,61.3982704476459,2.881298694040641,,proxy 2.9x,3.902193124602657,16.456083303768118,False,,108.68371113652648,True,True
CENTUM,Centum Electronics Limited,IT,74.5,3776.10009765625,3798.800048828125,3817.79,3630.74,4117.08,4.9,7.84,1.6,3516.522388566481,62.26696051442796,2.320963094257297,,—,3.962894332226453,4.855370610791387,False,5574.0,24.367200735006104,False,False
SOLARINDS,Solar Industries India Limited,Metal,74.5,21500.0,21645.0,21753.22,21047.97,22881.61,3.24,5.19,1.6,20434.430792588435,72.12411127504431,3.0958272478958255,,proxy 3.1x,2.624169453806814,0.6699006699006699,False,194554.0,357.21193103499996,True,False
CGCL,Capri Global Capital Limited,Unmapped,74.0,271.70001220703125,272.75,274.11,259.57,297.38,5.3,8.49,1.6,252.80526233466517,67.93023997134806,2.037691359963547,,—,4.282521352665896,0.38496344380155817,False,,173.86430034044105,False,True
JINDWORLD,Jindal Worldwide Limited,Unmapped,74.0,48.150001525878906,48.220001220703125,48.46,45.27,53.57,6.58,10.54,1.6,40.20024539576353,76.08600320763776,10.326611797339753,,proxy 10.3x,5.301910687740275,0.14516734353412786,False,,68.07388814662072,False,True
WHEELS,Wheels India Limited,Auto,73.5,1654.4000244140625,1676.699951171875,1685.08,1604.23,1814.44,4.8,7.68,1.6,1547.6826037162898,69.58599384769363,3.3233681962901644,,proxy 3.3x,3.909544189345255,8.495573870903621,False,4042.0,17.05762171405212,False,False
TMB,Tamilnad Mercantile Bank Limited,Unmapped,73.4,942.4500122070312,947.5,952.24,916.8,1008.94,3.72,5.95,1.6,904.755335446649,67.40413501635749,1.7063324482013422,,—,3.0083213895018264,0.5329802420019789,False,,15.854857654328004,False,True
