symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Unmapped,84.1,584.8499755859375,599.0,601.99,584.43,637.1,2.92,5.83,2.0,562.4585588597856,61.80630971231783,14.816893147005413,,proxy 14.8x,3.002001354240944,2.3622745265546743,False,,54.45711271291656,True,True
ACE,Action Construction Equipment Limited,Unmapped,76.0,1205.5999755859375,1213.199951171875,1219.27,1177.48,1302.84,3.43,6.85,2.0,1146.4771035293202,67.1922139533975,2.295338170422851,,—,3.466003614361618,0.6264404790485196,False,,34.51281956900269,True,True
VENUSPIPES,Venus Pipes & Tubes Limited,Unmapped,73.2,2131.699951171875,2160.0,2170.8,2076.55,2359.3,4.34,8.68,2.0,1938.201737228661,76.47361290496335,7.0075463148160795,,proxy 7.0x,4.421307171254345,1.3101874457465277,False,,46.91288856656372,False,True
APARINDS,Apar Industries Limited,Unmapped,73.0,17801.0,17925.0,18014.62,17275.83,19492.21,4.1,8.2,2.0,17315.448566121962,58.609624807192944,1.6898240945534975,,—,4.150288044121755,3.261290759794734,False,,202.83893451532225,False,True
AEGISVOPAK,Aegis Vopak Terminals Limited,Unmapped,72.3,310.70001220703125,316.0,317.58,304.77,343.19,4.03,8.06,2.0,296.4253197766279,67.87703436619813,5.239131810415744,,proxy 5.2x,4.12151440402735,1.6772113268888449,False,,42.40580259612717,False,True
ALGOQUANT,Algoquant Fintech Limited,Unmapped,72.1,70.12999725341797,71.8499984741211,72.21,69.67,77.28,3.52,7.02,2.0,65.583908988593,71.45359898537875,1.7435455298547684,,—,3.6162664350489497,2.393877880627422,False,,8.05611994248703,True,True
SHAREINDIA,Share India Securities Limited,Unmapped,71.9,218.44000244140625,219.9499969482422,221.05,211.59,239.96,4.28,8.55,2.0,195.4486760394491,81.31789311022396,5.1698904461013,,proxy 5.2x,4.328583130325569,0.6865171756248143,False,,140.07861020537095,False,True
GOCLCORP,GOCL Corporation Limited,Unmapped,71.5,456.1499938964844,458.79998779296875,461.09,444.94,493.39,3.5,7.01,2.0,433.6720215024141,67.7584543100601,2.8395701453806925,,proxy 2.8x,3.5404636264735494,0.8153946618325159,False,,19.2246795099765,False,True
IPCALAB,IPCA Laboratories Limited,Unmapped,71.4,1970.300048828125,2014.0,2024.07,1972.08,2128.04,2.57,5.14,2.0,1958.3234218097155,61.47319348608616,2.479539675044786,,—,2.6385131376007758,2.1698088963195135,False,,46.89438800042237,False,True
TALBROAUTO,Talbros Automotive Components Limited,Unmapped,71.2,435.20001220703125,442.0,444.21,427.66,477.31,3.73,7.45,2.0,422.2691241226363,61.27868415364338,1.5314083176806426,,—,3.8029109590034222,3.5052270983774885,False,,10.404969110588684,False,True
KROSS,Kross Limited,Unmapped,69.7,242.0500030517578,243.8000030517578,245.02,235.04,264.98,4.07,8.15,2.0,228.7443359405546,67.76168907061401,1.9093430748956537,,—,4.123500568537572,0.7178014676351262,False,,21.965880605273135,False,True
VIJAYA,Vijaya Diagnostic Centre Limited,Unmapped,68.1,1506.0999755859375,1514.9000244140625,1522.47,1468.3,1630.81,3.56,7.12,2.0,1481.1272095346221,57.31508871503668,1.4329185290105395,,—,3.5966133044546247,4.424001272727255,False,,21.450312636797484,False,True
TATVA,Tatva Chintan Pharma Chem Limited,Unmapped,66.4,1709.5999755859375,1720.0,1728.6,1654.28,1877.24,4.3,8.6,2.0,1642.658037905355,58.076238884903205,1.7422298454263847,,—,4.3471612470150145,6.8786660512293665,False,,8.647020750767823,False,True
