symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
IKS,Inventurus Knowledge Solutions Limited,Pharma,92.4,1869.199951171875,1886.0,1895.43,1826.96,2004.98,3.61,5.78,1.6,1786.0894888725543,62.81733039019721,3.2841465270740042,,proxy 3.3x,2.9304345270309984,3.300571589659855,False,31357,30.113967045665284,True,True
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Auto,80.5,930.4000244140625,950.0,954.75,897.42,1046.48,6.0,9.61,1.6,862.80884075919,65.13032237355273,5.340518782557195,,proxy 5.3x,4.929349248274199,2.0631553248355265,False,14215,73.56457785670318,False,True
DYNAMATECH,Dynamatic Technologies Limited,Auto,79.9,12516.0,12695.0,12758.47,12193.05,13663.13,4.43,7.09,1.6,12068.338042506859,68.3817684044281,2.2711804481371813,,—,3.6140332947426503,2.7190587403764948,False,8500,20.500358810585936,True,True
JSWINFRA,JSW Infrastructure Limited,Infrastructure,79.8,367.6000061035156,375.5,377.38,362.91,400.53,3.83,6.13,1.6,344.4391341775081,69.34567465313262,4.818708274567514,,proxy 4.8x,3.1490327696509586,2.1038598925391145,False,85105,148.68920859936844,False,True
MEESHO,Meesho Limited,Auto,79.6,240.19000244140625,244.74000549316406,245.96,235.09,263.35,4.42,7.07,1.6,219.1713378715886,76.76287674307272,5.79941568560356,,proxy 5.8x,3.6195919956582605,5.585688599057194,False,111143,508.3432856606889,True,True
SHADOWFAX,Shadowfax Technologies Limited,Infrastructure,73.9,283.04998779296875,288.25,289.69,275.18,312.91,5.01,8.02,1.6,260.40833498815,69.18598920178688,3.349706798773858,,proxy 3.3x,4.102299364589759,1.8039938272441456,False,16607,94.06618851499603,False,True
SANSERA,Sansera Engineering Limited,Auto,73.5,4586.5,4630.0,4653.15,4441.95,4991.07,4.54,7.26,1.6,4194.929245250959,73.57955578458846,4.986386564880171,,proxy 5.0x,3.683885277525782,0.9395248380129589,False,28621,93.23817801562134,False,True
KTKBANK,The Karnataka Bank Limited,Bank,72.5,331.5,334.0,335.67,323.48,355.17,3.63,5.81,1.6,320.9447113591939,61.62305728554029,1.5553803639363761,,—,2.940976820444259,2.6672333355873405,False,12537,67.5630683839299,False,True
USHAMART,Usha Martin Limited,Metal,70.2,531.2999877929688,541.0,543.7,524.25,574.82,3.58,5.72,1.6,508.64632876188745,65.28601291235746,2.557485795532264,,proxy 2.6x,2.9290692185749765,2.0825632697027365,False,16173,61.311857086303256,False,True
AVTNPL,AVT Natural Products Limited,Metal,68.1,98.26000213623047,100.0,100.5,94.94,109.39,5.53,8.85,1.6,90.04017383545309,70.95584861461406,14.09521854426416,,proxy 14.1x,4.523890862440556,1.7399978637695312,False,1496,5.056247500612602,False,False
