symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
SKIPPER,Skipper Limited,Infrastructure,79.0,575.0,585.0,587.92,561.24,630.61,4.54,7.26,1.6,549.8443736585689,63.57672118063126,4.197989608031523,,proxy 4.2x,3.7121036979201367,3.0354131534569984,False,6492.0,41.27312302003784,True,True
PITTIENG,Pitti Engineering Limited,Infrastructure,77.9,1098.25,1114.800048828125,1120.37,1071.47,1198.6,4.36,6.98,1.6,1047.7059576709844,71.41908853961833,2.563049210960284,,proxy 2.6x,3.5617015799707623,1.484575538503283,False,4054.0,13.392500486524963,False,True
SETL,Standard Engineering Technology Limited,Infrastructure,77.1,312.3500061035156,312.6000061035156,314.16,297.59,340.67,5.27,8.44,1.6,302.42946286473426,66.06282640073199,5.718857960989019,,proxy 5.7x,4.243590003438348,1.0297845174736822,False,6307.0,26.146576456271514,False,True
SHRIPISTON,SPR Auto Technologies Limited,Auto,76.6,4746.7998046875,4785.7998046875,4809.73,4612.49,5125.31,4.1,6.56,1.6,4542.2000685155635,69.8745303893985,2.942315278611138,,proxy 2.9x,3.3241520408610996,0.8149108109746056,False,20910.0,30.233967324353028,False,True
PIRAMALFIN,Piramal Finance Limited,Bank,75.1,2184.10009765625,2193.0,2203.96,2128.38,2324.89,3.43,5.49,1.6,2118.6197733377753,63.4289447784444,3.060391580905908,,proxy 3.1x,2.7685062512147818,1.6171127181869371,False,49362.0,43.87449871247803,False,True
SIEMENS,Siemens Limited,Infrastructure,75.1,4114.0,4118.2001953125,4138.79,4007.83,4348.32,3.16,5.06,1.6,3960.5545831160894,70.06183419747408,3.3175938472055373,,proxy 3.3x,2.546546661428945,0.10199104252583034,False,146508.0,177.4462496552368,True,True
MSTCLTD,Mstc Limited,Infrastructure,74.0,730.5999755859375,742.0,745.71,709.98,802.88,4.79,7.67,1.6,675.81083907329,70.70442278117977,2.7844424950259405,,proxy 2.8x,3.9127722763754473,1.7878812194690903,False,5143.0,24.143959894997256,False,True
GLENMARK,Glenmark Pharmaceuticals Limited,Pharma,72.8,2390.699951171875,2395.0,2406.97,2335.15,2521.88,2.98,4.77,1.6,2317.2104491931436,64.00694228430172,1.4208042171324406,,—,2.4032155827715673,3.3670189502071546,False,67471.0,114.88854987100586,True,True
BALAMINES,Balaji Amines Limited,Metal,70.1,2224.5,2250.0,2261.25,2135.03,2463.2,5.58,8.93,1.6,2120.665009000688,57.15906299859828,2.8437768685328884,,proxy 2.8x,4.539188475492893,8.96628289818769,False,7208.0,47.79330290618408,True,False
JAYNECOIND,Jayaswal Neco Industries Limited,Metal,68.0,104.22000122070312,104.69999694824219,105.22,100.48,112.8,4.5,7.2,1.6,95.02812958763913,72.88554267964673,2.7522563282824013,,proxy 2.8x,3.6363405103974373,10.923075879740919,False,10120.0,43.46891904313427,False,True
