symbol,name,sector,score,price,prev_high,entry,stop,target1,risk_pct,t1_pct,rr,trail_ema9,rsi,vol_ratio,delivery_pct,volume_quality,atr_pct,dist_52w_pct,at_multiyear_high,market_cap_cr,turnover_cr,breakout,squeeze
JTLIND,JTL INDUSTRIES LIMITED,Unmapped,80.8,79.5199966430664,80.44999694824219,80.85,77.09,86.86,4.65,7.43,1.6,75.87491814571914,58.98194073608462,3.179733660531045,,proxy 3.2x,3.7789434991349755,8.807340107745954,False,,17.95700545700733,False,True
BLUSPRING,Bluspring Enterprises Limited,Unmapped,80.5,128.97999572753906,129.75,130.4,121.31,144.94,6.97,11.15,1.6,117.8933912708122,64.64211702648319,6.021500576098093,,proxy 6.0x,5.635954199498819,2.154461719680017,False,,6.3359125886427305,False,True
AGI,AGI Greenpac Limited,Unmapped,79.3,753.5999755859375,758.75,762.54,735.46,805.87,3.55,5.68,1.6,718.4014065504801,68.15555346815728,5.124131322019125,,proxy 5.1x,2.874853131976549,22.068254851505948,False,,11.736109037151184,True,True
FCL,Fineotex Chemical Limited,Unmapped,75.4,47.43000030517578,47.900001525878906,48.14,45.04,53.09,6.44,10.28,1.6,43.947123112668514,68.51105796851247,2.7215096163780284,,proxy 2.7x,5.221141791162644,0.9812133731336057,False,,53.88688795150852,False,True
ALKYLAMINE,Alkyl Amines Chemicals Limited,Unmapped,73.7,2052.699951171875,2072.5,2082.86,1991.44,2229.13,4.39,7.02,1.6,1943.7499758074603,66.5449536315381,3.1246981799490032,,proxy 3.1x,3.5629736225518056,6.249723230689906,False,,32.602841819891964,False,True
DCBBANK,DCB Bank Limited,Unmapped,72.1,203.58999633789062,205.0,206.02,197.78,219.2,4.0,6.4,1.6,189.4003083618517,64.97123685343735,6.254318415929492,,proxy 6.3x,3.2374729530981203,0.6878066644435975,False,,40.11806052429062,True,False
JAYNECOIND,Jayaswal Neco Industries Limited,Unmapped,71.9,99.88999938964844,101.44999694824219,101.96,97.32,109.38,4.55,7.28,1.6,92.73016167937311,68.19329930797637,4.759784010848216,,proxy 4.8x,3.715403904045174,14.623932145599628,False,,38.79060351750568,True,True
MANGLMCEM,Mangalam Cement Limited,Unmapped,71.1,1027.949951171875,1036.6500244140625,1041.83,1001.44,1106.46,3.88,6.2,1.6,937.8833019110363,71.2535933857989,3.822598944817328,,proxy 3.8x,3.1435137751498603,0.8392488339644785,False,,18.7459229789975,False,True
IIFL,IIFL Finance Limited,Unmapped,70.8,679.7999877929688,687.0999755859375,690.54,665.82,730.1,3.58,5.73,1.6,637.1352293135049,77.9704045971149,6.732393470372532,,proxy 6.7x,2.9096361204464953,1.0624345877386399,False,,138.379314401893,True,True
ATLANTAELE,Atlanta Electricals Limited,Unmapped,70.3,1846.9000244140625,1857.4000244140625,1866.69,1751.83,2050.46,6.15,9.84,1.6,1721.6786829605398,63.93804380770993,2.938927091035297,,proxy 2.9x,4.975059913579061,14.201433586063366,False,,25.36136205572266,False,True
